comparison	diff	lwr	upr	p.adj	Significance
  2-1	0	NA	NA	NA	NA
  3-1	0	NA	NA	NA	NA
  4-1	0	NA	NA	NA	NA
  5-1	0	NA	NA	NA	NA
  6-1	0	NA	NA	NA	NA
  7-1	0	NA	NA	NA	NA
  3-2	0	NA	NA	NA	NA
  4-2	0	NA	NA	NA	NA
  5-2	0	NA	NA	NA	NA
  6-2	0	NA	NA	NA	NA
  7-2	0	NA	NA	NA	NA
  4-3	0	NA	NA	NA	NA
  5-3	0	NA	NA	NA	NA
  6-3	0	NA	NA	NA	NA
  7-3	0	NA	NA	NA	NA
  5-4	0	NA	NA	NA	NA
  6-4	0	NA	NA	NA	NA
  7-4	0	NA	NA	NA	NA
  6-5	0	NA	NA	NA	NA
  7-5	0	NA	NA	NA	NA
  7-6	0	NA	NA	NA	NA
